GA | iter = 106 | Mean = 0.004590243 | Best = 0.004975000
GA | iter = 145 | Mean = 0.004733899 | Best = 0.005031699
GA | iter = 146 | Mean = 0.004737736 | Best = 0.005031699
GA | iter = 147 | Mean = 0.004737972 | Best = 0.005031699
GA | iter = 148 | Mean = 0.004741510 | Best = 0.005031699
GA | iter = 149 | Mean = 0.004744368 | Best = 0.005031699
GA | iter = 150 | Mean = 0.004746639 | Best = 0.005031699
GA | iter = 151 | Mean = 0.004745369 | Best = 0.005118897
GA | iter = 152 | Mean = 0.004744473 | Best = 0.005118897
GA | iter = 153 | Mean = 0.004750253 | Best = 0.005118897
GA | iter = 154 | Mean = 0.004751776 | Best = 0.005118897
GA | iter = 155 | Mean = 0.004754788 | Best = 0.005118897
GA | iter = 156 | Mean = 0.004756164 | Best = 0.005118897
GA | iter = 157 | Mean = 0.004759316 | Best = 0.005118897
GA | iter = 158 | Mean = 0.004757696 | Best = 0.005118897
GA | iter = 159 | Mean = 0.004753863 | Best = 0.005118897
GA | iter = 160 | Mean = 0.004747661 | Best = 0.005118897
GA | iter = 161 | Mean = 0.004754292 | Best = 0.005118897
GA | iter = 162 | Mean = 0.004762595 | Best = 0.005118897
GA | iter = 163 | Mean = 0.004764583 | Best = 0.005118897
GA | iter = 164 | Mean = 0.004756877 | Best = 0.005118897
GA | iter = 165 | Mean = 0.004761174 | Best = 0.005118897
GA | iter = 166 | Mean = 0.004757665 | Best = 0.005118897
GA | iter = 167 | Mean = 0.004758157 | Best = 0.005118897
GA | iter = 168 | Mean = 0.004757673 | Best = 0.005118897
GA | iter = 169 | Mean = 0.004766534 | Best = 0.005234619
GA | iter = 170 | Mean = 0.004773139 | Best = 0.005234619
GA | iter = 171 | Mean = 0.004781061 | Best = 0.005234619
GA | iter = 172 | Mean = 0.004775370 | Best = 0.005234619
GA | iter = 173 | Mean = 0.004782562 | Best = 0.005234619
GA | iter = 174 | Mean = 0.004781927 | Best = 0.005234619
GA | iter = 175 | Mean = 0.004783356 | Best = 0.005234619
GA | iter = 176 | Mean = 0.004780984 | Best = 0.005234619
GA | iter = 177 | Mean = 0.004783595 | Best = 0.005234619
GA | iter = 178 | Mean = 0.004778757 | Best = 0.005234619
GA | iter = 179 | Mean = 0.004793333 | Best = 0.005234619
GA | iter = 180 | Mean = 0.004798694 | Best = 0.005234619
GA | iter = 181 | Mean = 0.004804800 | Best = 0.005234619
GA | iter = 182 | Mean = 0.004812688 | Best = 0.005234619
GA | iter = 183 | Mean = 0.004816117 | Best = 0.005234619
GA | iter = 184 | Mean = 0.004825931 | Best = 0.005234619
GA | iter = 185 | Mean = 0.004834871 | Best = 0.005234619
GA | iter = 186 | Mean = 0.004831838 | Best = 0.005234619
GA | iter = 187 | Mean = 0.004835832 | Best = 0.005234619
GA | iter = 188 | Mean = 0.004846944 | Best = 0.005234619
GA | iter = 189 | Mean = 0.004855125 | Best = 0.005292824
GA | iter = 190 | Mean = 0.004857801 | Best = 0.005292824
GA | iter = 191 | Mean = 0.004858709 | Best = 0.005292824
GA | iter = 192 | Mean = 0.004861844 | Best = 0.005292824
GA | iter = 193 | Mean = 0.004867986 | Best = 0.005292824
GA | iter = 194 | Mean = 0.004869880 | Best = 0.005292824
GA | iter = 195 | Mean = 0.004875693 | Best = 0.005292824
GA | iter = 196 | Mean = 0.004875334 | Best = 0.005292824
GA | iter = 197 | Mean = 0.004870473 | Best = 0.005292824
GA | iter = 198 | Mean = 0.004877822 | Best = 0.005292824
GA | iter = 199 | Mean = 0.004893616 | Best = 0.005292824
GA | iter = 200 | Mean = 0.004900872 | Best = 0.005292824
GA | iter = 201 | Mean = 0.004903153 | Best = 0.005292824
GA | iter = 202 | Mean = 0.004906643 | Best = 0.005292824
GA | iter = 203 | Mean = 0.004908656 | Best = 0.005292824
GA | iter = 204 | Mean = 0.004912916 | Best = 0.005292824
GA | iter = 205 | Mean = 0.004913671 | Best = 0.005292824
GA | iter = 206 | Mean = 0.004910428 | Best = 0.005292824
GA | iter = 207 | Mean = 0.004904958 | Best = 0.005292824
GA | iter = 208 | Mean = 0.004905420 | Best = 0.005292824
GA | iter = 209 | Mean = 0.004909719 | Best = 0.005292824
GA | iter = 210 | Mean = 0.004914320 | Best = 0.005292824
GA | iter = 211 | Mean = 0.004916029 | Best = 0.005292824
GA | iter = 212 | Mean = 0.004923462 | Best = 0.005292824
GA | iter = 213 | Mean = 0.004916726 | Best = 0.005292824
GA | iter = 214 | Mean = 0.004909742 | Best = 0.005292824
GA | iter = 215 | Mean = 0.004919086 | Best = 0.005292824
GA | iter = 216 | Mean = 0.004924316 | Best = 0.005292824
GA | iter = 217 | Mean = 0.004928031 | Best = 0.005292824
GA | iter = 218 | Mean = 0.004929901 | Best = 0.005292824
GA | iter = 219 | Mean = 0.004924734 | Best = 0.005338465
GA | iter = 220 | Mean = 0.004921184 | Best = 0.005338465
GA | iter = 221 | Mean = 0.004922509 | Best = 0.005338465
GA | iter = 222 | Mean = 0.004916026 | Best = 0.005338465
GA | iter = 223 | Mean = 0.004912060 | Best = 0.005338465
GA | iter = 224 | Mean = 0.004918304 | Best = 0.005338465
GA | iter = 225 | Mean = 0.004921519 | Best = 0.005338465
GA | iter = 226 | Mean = 0.004922652 | Best = 0.005338465
GA | iter = 227 | Mean = 0.004920257 | Best = 0.005338465
GA | iter = 228 | Mean = 0.004919389 | Best = 0.005338465
GA | iter = 229 | Mean = 0.004915198 | Best = 0.005338465
GA | iter = 230 | Mean = 0.004911700 | Best = 0.005338465
GA | iter = 231 | Mean = 0.004913103 | Best = 0.005338465
GA | iter = 232 | Mean = 0.004920103 | Best = 0.005338465
GA | iter = 233 | Mean = 0.004930256 | Best = 0.005338465
GA | iter = 234 | Mean = 0.004942690 | Best = 0.005338465
GA | iter = 235 | Mean = 0.004941275 | Best = 0.005338465
GA | iter = 236 | Mean = 0.004942253 | Best = 0.005338465
GA | iter = 237 | Mean = 0.004940639 | Best = 0.005338465
GA | iter = 238 | Mean = 0.004936717 | Best = 0.005338465
GA | iter = 239 | Mean = 0.004944607 | Best = 0.005338465
GA | iter = 240 | Mean = 0.004945807 | Best = 0.005338465
GA | iter = 241 | Mean = 0.004955678 | Best = 0.005338465
GA | iter = 242 | Mean = 0.004949368 | Best = 0.005338465
GA | iter = 243 | Mean = 0.004947375 | Best = 0.005338465
GA | iter = 244 | Mean = 0.004950190 | Best = 0.005338465
GA | iter = 245 | Mean = 0.004958552 | Best = 0.005338465
GA | iter = 246 | Mean = 0.004959291 | Best = 0.005338465
GA | iter = 247 | Mean = 0.004965229 | Best = 0.005338465
GA | iter = 248 | Mean = 0.004958885 | Best = 0.005338465
GA | iter = 249 | Mean = 0.004966947 | Best = 0.005338465
GA | iter = 250 | Mean = 0.004968311 | Best = 0.005338465
GA | iter = 251 | Mean = 0.004972709 | Best = 0.005338465
GA | iter = 252 | Mean = 0.004970516 | Best = 0.005338465
GA | iter = 253 | Mean = 0.004981485 | Best = 0.005338465
GA | iter = 254 | Mean = 0.004992654 | Best = 0.005338465
GA | iter = 255 | Mean = 0.004985487 | Best = 0.005338465
GA | iter = 256 | Mean = 0.004988313 | Best = 0.005338465
GA | iter = 257 | Mean = 0.004982963 | Best = 0.005338465
GA | iter = 258 | Mean = 0.004982870 | Best = 0.005338465
GA | iter = 259 | Mean = 0.004987912 | Best = 0.005338465
GA | iter = 260 | Mean = 0.004999300 | Best = 0.005358966
GA | iter = 261 | Mean = 0.005003135 | Best = 0.005358966
GA | iter = 262 | Mean = 0.005007913 | Best = 0.005358966
GA | iter = 263 | Mean = 0.005003426 | Best = 0.005358966
GA | iter = 264 | Mean = 0.005003357 | Best = 0.005358966
GA | iter = 265 | Mean = 0.005009578 | Best = 0.005358966
GA | iter = 266 | Mean = 0.005005156 | Best = 0.005362865
GA | iter = 267 | Mean = 0.005009934 | Best = 0.005362865
GA | iter = 268 | Mean = 0.005015803 | Best = 0.005362865
GA | iter = 269 | Mean = 0.005012834 | Best = 0.005362865
GA | iter = 270 | Mean = 0.005010037 | Best = 0.005438370
GA | iter = 271 | Mean = 0.005026407 | Best = 0.005438370
GA | iter = 272 | Mean = 0.005021092 | Best = 0.005438370
GA | iter = 273 | Mean = 0.005019351 | Best = 0.005438370
GA | iter = 274 | Mean = 0.005018513 | Best = 0.005438370
GA | iter = 275 | Mean = 0.005015214 | Best = 0.005438370
GA | iter = 276 | Mean = 0.00501793 | Best = 0.00543837
GA | iter = 277 | Mean = 0.005020913 | Best = 0.005438370
GA | iter = 278 | Mean = 0.005014869 | Best = 0.005438370
GA | iter = 279 | Mean = 0.00501389 | Best = 0.00543837
GA | iter = 280 | Mean = 0.005014325 | Best = 0.005438370
GA | iter = 281 | Mean = 0.005020163 | Best = 0.005438370
GA | iter = 282 | Mean = 0.005014899 | Best = 0.005438370
GA | iter = 283 | Mean = 0.005021407 | Best = 0.005438370
GA | iter = 284 | Mean = 0.005022355 | Best = 0.005438370
GA | iter = 285 | Mean = 0.005025965 | Best = 0.005438370
GA | iter = 286 | Mean = 0.005024552 | Best = 0.005438370
GA | iter = 287 | Mean = 0.005030224 | Best = 0.005438370
GA | iter = 288 | Mean = 0.005031797 | Best = 0.005438370
GA | iter = 289 | Mean = 0.005025937 | Best = 0.005438370
GA | iter = 290 | Mean = 0.005026051 | Best = 0.005438370
GA | iter = 291 | Mean = 0.005024458 | Best = 0.005438370
GA | iter = 292 | Mean = 0.005029176 | Best = 0.005438370
GA | iter = 293 | Mean = 0.005028084 | Best = 0.005438370
GA | iter = 294 | Mean = 0.005028777 | Best = 0.005438370
GA | iter = 295 | Mean = 0.005040529 | Best = 0.005438370
GA | iter = 296 | Mean = 0.005037508 | Best = 0.005438370
GA | iter = 297 | Mean = 0.005034853 | Best = 0.005447947
GA | iter = 298 | Mean = 0.005044886 | Best = 0.005447947
GA | iter = 299 | Mean = 0.005048930 | Best = 0.005447947
GA | iter = 300 | Mean = 0.005057704 | Best = 0.005447947
GA | iter = 1 | Mean = 0.003570847 | Best = 0.005561619
GA | iter = 2 | Mean = 0.003765735 | Best = 0.005561619
GA | iter = 3 | Mean = 0.003967709 | Best = 0.005561619
GA | iter = 4 | Mean = 0.004174082 | Best = 0.005561619
GA | iter = 5 | Mean = 0.004321277 | Best = 0.005561619
GA | iter = 6 | Mean = 0.004395869 | Best = 0.005561619
GA | iter = 7 | Mean = 0.004485661 | Best = 0.005561619
GA | iter = 8 | Mean = 0.004556585 | Best = 0.005561619
GA | iter = 9 | Mean = 0.004611887 | Best = 0.005583496
GA | iter = 10 | Mean = 0.004652903 | Best = 0.005583496
GA | iter = 11 | Mean = 0.004691713 | Best = 0.005583496
GA | iter = 12 | Mean = 0.004734897 | Best = 0.005583496
GA | iter = 13 | Mean = 0.004780851 | Best = 0.005583496
GA | iter = 14 | Mean = 0.004795185 | Best = 0.005593282
GA | iter = 15 | Mean = 0.004826825 | Best = 0.005593282
GA | iter = 16 | Mean = 0.004848890 | Best = 0.005593282
GA | iter = 17 | Mean = 0.004880066 | Best = 0.005593282
GA | iter = 18 | Mean = 0.004913041 | Best = 0.005593282
GA | iter = 19 | Mean = 0.004935553 | Best = 0.005593282
GA | iter = 20 | Mean = 0.004952224 | Best = 0.005593282
GA | iter = 21 | Mean = 0.004957182 | Best = 0.005593282
GA | iter = 22 | Mean = 0.004965880 | Best = 0.005593282
GA | iter = 23 | Mean = 0.004976145 | Best = 0.005593282
GA | iter = 24 | Mean = 0.004987957 | Best = 0.005593282
GA | iter = 25 | Mean = 0.004996633 | Best = 0.005593282
GA | iter = 26 | Mean = 0.005012772 | Best = 0.005593282
GA | iter = 27 | Mean = 0.005025048 | Best = 0.005593282
GA | iter = 28 | Mean = 0.005036079 | Best = 0.005593282
GA | iter = 29 | Mean = 0.005038599 | Best = 0.005593282
GA | iter = 30 | Mean = 0.005039544 | Best = 0.005593282
GA | iter = 31 | Mean = 0.005048919 | Best = 0.005593282
GA | iter = 32 | Mean = 0.005057909 | Best = 0.005593282
GA | iter = 33 | Mean = 0.005070268 | Best = 0.005593282
GA | iter = 34 | Mean = 0.005079130 | Best = 0.005593282
GA | iter = 35 | Mean = 0.005084262 | Best = 0.005593282
GA | iter = 36 | Mean = 0.005092142 | Best = 0.005593282
GA | iter = 37 | Mean = 0.005101438 | Best = 0.005593282
GA | iter = 38 | Mean = 0.005109640 | Best = 0.005593282
GA | iter = 39 | Mean = 0.005120293 | Best = 0.005593282
GA | iter = 40 | Mean = 0.005128373 | Best = 0.005593282
GA | iter = 41 | Mean = 0.005137255 | Best = 0.005593282
GA | iter = 42 | Mean = 0.005145787 | Best = 0.005593282
GA | iter = 43 | Mean = 0.005154441 | Best = 0.005593282
GA | iter = 44 | Mean = 0.005166517 | Best = 0.005593282
GA | iter = 45 | Mean = 0.005166713 | Best = 0.005666843
GA | iter = 46 | Mean = 0.005161793 | Best = 0.005666843
GA | iter = 47 | Mean = 0.005170607 | Best = 0.005666843
GA | iter = 48 | Mean = 0.005171984 | Best = 0.005666843
GA | iter = 49 | Mean = 0.005175409 | Best = 0.005666843
GA | iter = 50 | Mean = 0.005173556 | Best = 0.005666843
GA | iter = 51 | Mean = 0.005177227 | Best = 0.005666843
GA | iter = 52 | Mean = 0.005180506 | Best = 0.005666843
GA | iter = 53 | Mean = 0.005185856 | Best = 0.005666843
GA | iter = 54 | Mean = 0.005190240 | Best = 0.005666843
GA | iter = 55 | Mean = 0.005201397 | Best = 0.005666843
GA | iter = 56 | Mean = 0.005203098 | Best = 0.005730277
GA | iter = 57 | Mean = 0.005211615 | Best = 0.005803528
GA | iter = 58 | Mean = 0.005222475 | Best = 0.005803528
GA | iter = 59 | Mean = 0.005224636 | Best = 0.005803528
GA | iter = 60 | Mean = 0.005227907 | Best = 0.005803528
GA | iter = 61 | Mean = 0.005231634 | Best = 0.005803528
GA | iter = 62 | Mean = 0.005231771 | Best = 0.005803528
GA | iter = 63 | Mean = 0.005239972 | Best = 0.005803528
GA | iter = 64 | Mean = 0.005245222 | Best = 0.005803528
GA | iter = 65 | Mean = 0.005249979 | Best = 0.005803528
GA | iter = 66 | Mean = 0.005255662 | Best = 0.005803528
GA | iter = 67 | Mean = 0.005256321 | Best = 0.005803528
GA | iter = 68 | Mean = 0.005265465 | Best = 0.005927104
GA | iter = 69 | Mean = 0.005273470 | Best = 0.005927104
GA | iter = 70 | Mean = 0.005290095 | Best = 0.005927104
GA | iter = 71 | Mean = 0.005295789 | Best = 0.005927104
GA | iter = 72 | Mean = 0.005306525 | Best = 0.005927104
GA | iter = 73 | Mean = 0.005308364 | Best = 0.005927104
GA | iter = 74 | Mean = 0.005316418 | Best = 0.005927104
GA | iter = 75 | Mean = 0.005322608 | Best = 0.005994173
GA | iter = 76 | Mean = 0.005338534 | Best = 0.006035148
GA | iter = 77 | Mean = 0.005343147 | Best = 0.006035148
GA | iter = 78 | Mean = 0.005347862 | Best = 0.006035148
GA | iter = 79 | Mean = 0.005369808 | Best = 0.006035148
GA | iter = 80 | Mean = 0.005384701 | Best = 0.006035148
GA | iter = 81 | Mean = 0.005392666 | Best = 0.006130465
GA | iter = 82 | Mean = 0.005400032 | Best = 0.006241453
GA | iter = 83 | Mean = 0.005409063 | Best = 0.006241453
GA | iter = 84 | Mean = 0.005414742 | Best = 0.006241453
GA | iter = 85 | Mean = 0.005417065 | Best = 0.006241453
GA | iter = 86 | Mean = 0.005426904 | Best = 0.006241453
GA | iter = 87 | Mean = 0.005446237 | Best = 0.006241453
GA | iter = 88 | Mean = 0.005442569 | Best = 0.006241453
GA | iter = 89 | Mean = 0.005453474 | Best = 0.006241453
GA | iter = 90 | Mean = 0.005455337 | Best = 0.006241453
GA | iter = 91 | Mean = 0.005458376 | Best = 0.006241453
GA | iter = 92 | Mean = 0.005464986 | Best = 0.006241453
GA | iter = 93 | Mean = 0.005490331 | Best = 0.006241453
GA | iter = 94 | Mean = 0.005499290 | Best = 0.006241453
GA | iter = 95 | Mean = 0.005502977 | Best = 0.006241453
GA | iter = 96 | Mean = 0.005509809 | Best = 0.006241453
GA | iter = 97 | Mean = 0.005516405 | Best = 0.006241453
GA | iter = 98 | Mean = 0.005521475 | Best = 0.006241453
GA | iter = 99 | Mean = 0.005531340 | Best = 0.006241453
GA | iter = 100 | Mean = 0.005538935 | Best = 0.006241453
GA | iter = 101 | Mean = 0.005548924 | Best = 0.006241453
GA | iter = 102 | Mean = 0.005554698 | Best = 0.006241453
GA | iter = 103 | Mean = 0.005566466 | Best = 0.006278823
GA | iter = 104 | Mean = 0.005579375 | Best = 0.006278823
GA | iter = 105 | Mean = 0.005599971 | Best = 0.006278823
GA | iter = 106 | Mean = 0.005602451 | Best = 0.006278823
GA | iter = 107 | Mean = 0.005615639 | Best = 0.006278823
GA | iter = 108 | Mean = 0.005637926 | Best = 0.006278823
GA | iter = 109 | Mean = 0.005650237 | Best = 0.006278823
GA | iter = 110 | Mean = 0.005668458 | Best = 0.006278823
GA | iter = 111 | Mean = 0.005679782 | Best = 0.006278823
GA | iter = 112 | Mean = 0.005679414 | Best = 0.006278823
GA | iter = 113 | Mean = 0.005675712 | Best = 0.006278823
GA | iter = 114 | Mean = 0.005679341 | Best = 0.006278823
GA | iter = 115 | Mean = 0.005677761 | Best = 0.006278823
GA | iter = 116 | Mean = 0.005682902 | Best = 0.006278823
GA | iter = 117 | Mean = 0.005677915 | Best = 0.006309241
GA | iter = 118 | Mean = 0.005687697 | Best = 0.006309241
GA | iter = 119 | Mean = 0.005687408 | Best = 0.006309241
GA | iter = 120 | Mean = 0.005687769 | Best = 0.006309241
GA | iter = 121 | Mean = 0.005699275 | Best = 0.006309241
GA | iter = 122 | Mean = 0.005705969 | Best = 0.006334833
GA | iter = 123 | Mean = 0.005709882 | Best = 0.006334833
GA | iter = 124 | Mean = 0.005704296 | Best = 0.006334833
GA | iter = 125 | Mean = 0.005699455 | Best = 0.006334833
GA | iter = 126 | Mean = 0.005716092 | Best = 0.006334833
GA | iter = 127 | Mean = 0.005721878 | Best = 0.006334833
GA | iter = 128 | Mean = 0.005729195 | Best = 0.006334833
GA | iter = 129 | Mean = 0.005725462 | Best = 0.006334833
GA | iter = 130 | Mean = 0.005739244 | Best = 0.006334833
GA | iter = 131 | Mean = 0.005734561 | Best = 0.006334833
GA | iter = 132 | Mean = 0.005744823 | Best = 0.006334833
GA | iter = 133 | Mean = 0.005738199 | Best = 0.006334833
GA | iter = 134 | Mean = 0.005753295 | Best = 0.006334833
GA | iter = 135 | Mean = 0.005754141 | Best = 0.006334833
GA | iter = 136 | Mean = 0.005752610 | Best = 0.006334833
GA | iter = 137 | Mean = 0.005757147 | Best = 0.006334833
GA | iter = 138 | Mean = 0.005767785 | Best = 0.006334833
GA | iter = 139 | Mean = 0.005782452 | Best = 0.006334833
GA | iter = 140 | Mean = 0.005784831 | Best = 0.006334833
GA | iter = 141 | Mean = 0.005798086 | Best = 0.006334833
GA | iter = 142 | Mean = 0.005818377 | Best = 0.006334833
GA | iter = 143 | Mean = 0.005828288 | Best = 0.006334833
GA | iter = 144 | Mean = 0.005843792 | Best = 0.006334833
GA | iter = 145 | Mean = 0.005850269 | Best = 0.006334833
GA | iter = 146 | Mean = 0.005859423 | Best = 0.006334833
GA | iter = 147 | Mean = 0.005864176 | Best = 0.006334833
GA | iter = 148 | Mean = 0.005869916 | Best = 0.006334833
GA | iter = 149 | Mean = 0.005870574 | Best = 0.006334833
GA | iter = 150 | Mean = 0.005873921 | Best = 0.006334833
GA | iter = 151 | Mean = 0.005876703 | Best = 0.006545614
GA | iter = 152 | Mean = 0.005876262 | Best = 0.006545614
GA | iter = 153 | Mean = 0.005880040 | Best = 0.006545614
GA | iter = 154 | Mean = 0.005881345 | Best = 0.006545614
GA | iter = 155 | Mean = 0.005880548 | Best = 0.006545614
GA | iter = 156 | Mean = 0.005884458 | Best = 0.006545614
GA | iter = 157 | Mean = 0.005888656 | Best = 0.006545614
GA | iter = 158 | Mean = 0.005888418 | Best = 0.006545614
GA | iter = 159 | Mean = 0.005885612 | Best = 0.006545614
GA | iter = 160 | Mean = 0.005874052 | Best = 0.006545614
GA | iter = 161 | Mean = 0.005879009 | Best = 0.006545614
GA | iter = 162 | Mean = 0.005891072 | Best = 0.006545614
GA | iter = 163 | Mean = 0.005899421 | Best = 0.006605079
GA | iter = 164 | Mean = 0.005890029 | Best = 0.006605079
GA | iter = 165 | Mean = 0.005900657 | Best = 0.006605079
GA | iter = 166 | Mean = 0.005897070 | Best = 0.006605079
GA | iter = 167 | Mean = 0.005902412 | Best = 0.006605079
GA | iter = 168 | Mean = 0.005902785 | Best = 0.006605079
GA | iter = 169 | Mean = 0.005910378 | Best = 0.006670673
GA | iter = 170 | Mean = 0.005919613 | Best = 0.006670673
GA | iter = 171 | Mean = 0.005932970 | Best = 0.006670673
GA | iter = 172 | Mean = 0.005931459 | Best = 0.006670673
GA | iter = 173 | Mean = 0.005941258 | Best = 0.006670673
GA | iter = 174 | Mean = 0.005943293 | Best = 0.006670673
GA | iter = 175 | Mean = 0.005944648 | Best = 0.006670673
GA | iter = 176 | Mean = 0.005945075 | Best = 0.006670673
GA | iter = 177 | Mean = 0.005953302 | Best = 0.006670673
GA | iter = 178 | Mean = 0.005951482 | Best = 0.006670673
GA | iter = 179 | Mean = 0.005962828 | Best = 0.006670673
GA | iter = 180 | Mean = 0.005969106 | Best = 0.006670673
GA | iter = 181 | Mean = 0.005969950 | Best = 0.006670673
GA | iter = 182 | Mean = 0.005983898 | Best = 0.006670673
GA | iter = 183 | Mean = 0.005995973 | Best = 0.006670673
GA | iter = 184 | Mean = 0.006013266 | Best = 0.006670673
GA | iter = 185 | Mean = 0.006025577 | Best = 0.006670673
GA | iter = 186 | Mean = 0.006023602 | Best = 0.006670673
GA | iter = 187 | Mean = 0.006025717 | Best = 0.006670673
GA | iter = 188 | Mean = 0.006037821 | Best = 0.006670673
GA | iter = 189 | Mean = 0.006046079 | Best = 0.006670673
GA | iter = 190 | Mean = 0.006052935 | Best = 0.006670673
GA | iter = 191 | Mean = 0.006061646 | Best = 0.006670673
GA | iter = 192 | Mean = 0.006059385 | Best = 0.006670673
GA | iter = 193 | Mean = 0.006064049 | Best = 0.006670673
GA | iter = 194 | Mean = 0.006064920 | Best = 0.006670673
GA | iter = 195 | Mean = 0.006071350 | Best = 0.006670673
GA | iter = 196 | Mean = 0.006066462 | Best = 0.006670673
GA | iter = 197 | Mean = 0.006063606 | Best = 0.006670673
GA | iter = 198 | Mean = 0.006072586 | Best = 0.006670673
GA | iter = 199 | Mean = 0.006089369 | Best = 0.006670673
GA | iter = 200 | Mean = 0.006089295 | Best = 0.006670673
GA | iter = 201 | Mean = 0.006092703 | Best = 0.006670673
GA | iter = 202 | Mean = 0.006098777 | Best = 0.006670673
GA | iter = 203 | Mean = 0.006099072 | Best = 0.006670673
GA | iter = 204 | Mean = 0.006106536 | Best = 0.006670673
GA | iter = 205 | Mean = 0.006109958 | Best = 0.006670673
GA | iter = 206 | Mean = 0.006099928 | Best = 0.006670673
GA | iter = 207 | Mean = 0.006096523 | Best = 0.006670673
GA | iter = 208 | Mean = 0.006093862 | Best = 0.006670673
GA | iter = 209 | Mean = 0.006097129 | Best = 0.006670673
GA | iter = 210 | Mean = 0.006104047 | Best = 0.006670673
GA | iter = 211 | Mean = 0.006101959 | Best = 0.006670673
GA | iter = 212 | Mean = 0.006116790 | Best = 0.006670673
GA | iter = 213 | Mean = 0.006109941 | Best = 0.006670673
GA | iter = 214 | Mean = 0.006097414 | Best = 0.006670673
GA | iter = 215 | Mean = 0.006112253 | Best = 0.006670673
GA | iter = 216 | Mean = 0.006117904 | Best = 0.006670673
GA | iter = 217 | Mean = 0.006123409 | Best = 0.006670673
GA | iter = 218 | Mean = 0.006128009 | Best = 0.006670673
GA | iter = 1 | Mean = 0.004172112 | Best = 0.006470076
GA | iter = 2 | Mean = 0.004398679 | Best = 0.006491303
GA | iter = 3 | Mean = 0.004618242 | Best = 0.006491303
GA | iter = 4 | Mean = 0.004800467 | Best = 0.006491303
GA | iter = 5 | Mean = 0.004958408 | Best = 0.006491303
GA | iter = 6 | Mean = 0.005068941 | Best = 0.006491303
GA | iter = 7 | Mean = 0.005160701 | Best = 0.006491303
GA | iter = 8 | Mean = 0.005237395 | Best = 0.006511860
GA | iter = 9 | Mean = 0.005285881 | Best = 0.006511860
GA | iter = 10 | Mean = 0.005340945 | Best = 0.006511860
GA | iter = 11 | Mean = 0.005387764 | Best = 0.006511860
GA | iter = 12 | Mean = 0.005424796 | Best = 0.006511860
GA | iter = 13 | Mean = 0.005472164 | Best = 0.006511860
GA | iter = 14 | Mean = 0.005505114 | Best = 0.006511860
GA | iter = 15 | Mean = 0.005531419 | Best = 0.006511860
GA | iter = 16 | Mean = 0.005539061 | Best = 0.006511860
GA | iter = 17 | Mean = 0.005566089 | Best = 0.006511860
GA | iter = 18 | Mean = 0.005591664 | Best = 0.006511860
GA | iter = 19 | Mean = 0.005613542 | Best = 0.006511860
GA | iter = 20 | Mean = 0.005629319 | Best = 0.006511860
GA | iter = 21 | Mean = 0.00564171 | Best = 0.00651186
GA | iter = 22 | Mean = 0.005653815 | Best = 0.006511860
GA | iter = 23 | Mean = 0.005667543 | Best = 0.006511860
